City Council District,Name,Borough,Party,Neighborhoods,Neighborhoods2,Neighborhoods3,Neighborhoods4,Neighborhoods5,Neighborhoods6,Neighborhoods7,Neighborhoods8,Neighborhoods9,Neighborhoods10,Neighborhoods11,Neighborhoods12,Neighborhoods13,Neighborhoods14,Neighborhoods15,Neighborhoods16,Neighborhoods17,Neighborhoods18,Neighborhoods19,Neighborhoods20,Neighborhoods21,Neighborhoods22,Neighborhoods23,Neighborhoods24,Neighborhoods25,Neighborhoods26,Neighborhoods27,Neighborhoods28,Neighborhoods29,Neighborhoods30
36,Chi Ossé,Brooklyn,Democrat,Bedford-Stuyvesant (West), Bedford-Stuyvesant (East), Crown Heights (North),,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Sandy Nurse,Brooklyn,Democrat,Bushwick (West), Bushwick (East), The Evergreens Cemetery, Cypress Hills, East New York (North), East New York-City Line, Highland Park-Cypress Hills Cemeteries (South), Ocean Hill, Brownsville,,,,,,,,,,,,,,,,,,,,,
38,Alexa Avilés,Brooklyn,Democrat,Carroll Gardens-Cobble Hill-Gowanus-Red Hook, Park Slope, Windsor Terrace-South Slope, Sunset Park (West), Sunset Park (Central), Green-Wood Cemetery, Bay Ridge, Dyker Heights, Bensonhurst, Bath Beach, Sunset Park (East)-Borough Park (West),,,,,,,,,,,,,,,,,,,
39,Shahana Hanif,Brooklyn,Democrat,Downtown Brooklyn-DUMBO-Boerum Hill, Carroll Gardens-Cobble Hill-Gowanus-Red Hook, Park Slope, Windsor Terrace-South Slope, Sunset Park (West), Green-Wood Cemetery, Prospect Heights, Borough Park, Kensington, Flatbush (West)-Ditmas Park-Parkville, Prospect Park,,,,,,,,,,,,,,,,,,,
40,Rita Joseph,Brooklyn,Democrat,Windsor Terrace-South Slope, Crown Heights (South), Prospect Lefferts Gardens-Wingate, Borough Park, Kensington, Mapleton-Midwood (West), Flatbush, Flatbush (West)-Ditmas Park-Parkville, East Flatbush-Erasmus, East Flatbush-Rugby, Prospect Park,,,,,,,,,,,,,,,,,,,
41,Darlene Mealy,Brooklyn,Democrat,Bedford-Stuyvesant (East), Crown Heights (North), Lincoln Terrace Park, Crown Heights (South), Prospect Lefferts Gardens-Wingate, Ocean Hill, Brownsville, East Flatbush-Rugby, East Flatbush-Remsen Village,,,,,,,,,,,,,,,,,,,,,
42,Chris Banks,Brooklyn,Democrat,East New York (North), East New York-New Lots, Spring Creek-Starrett City, East New York-City Line, Brownsville, East Flatbush-Rugby, East Flatbush-Remsen Village, Canarsie, Jamaica Bay (West), Shirley Chisholm State Park,,,,,,,,,,,,,,,,,,,,
43,Susan Zhuang,Brooklyn,Democrat,Sunset Park (Central), Dyker Heights, Bensonhurst, Bath Beach, Gravesend (West), Sunset Park (East)-Borough Park (West), Borough Park, Mapleton-Midwood (West), Gravesend (East)-Homecrest,,,,,,,,,,,,,,,,,,,,,
44,Kalman Yeger,Brooklyn,Democrat,Bensonhurst, Gravesend (West), Sunset Park (East)-Borough Park (West), Borough Park, Mapleton-Midwood (West), Midwood, Gravesend (East)-Homecrest,,,,,,,,,,,,,,,,,,,,,,,
45,Farah N. Louis,Brooklyn,Democrat,Flatbush, Midwood, East Flatbush, Flatlands, Marine Park, Canarsie,,,,,,,,,,,,,,,,,,,,,,,,
46,Mercedes Narcisse,Brooklyn,Democrat,Bergen Beach, Canarsie, Flatlands, Georgetown, Gerritsen Beach, Marine Park, Mill Basin, Mill Island, and Sheepshead Bay,,,,,,,,,,,,,,,,,,,,,
47,Justin Brannan,Brooklyn,Democrat,Bath Beach, Bay Ridge, Coney Island, Dyker Heights, Gravesend, Sea Gate,,,,,,,,,,,,,,,,,,,,,,,,
48,Inna Vernikov,Brooklyn,Republican,Gravesend (South), Coney Island-Sea Gate, Brighton Beach, Midwood, Gravesend (East)-Homecrest, Madison, Sheepshead Bay-Manhattan Beach-Gerritsen Beach,,,,,,,,,,,,,,,,,,,,,,,
49,Kamillah Hanks,Staten Island,Democrat,St. George-New Brighton, Tompkinsville-Stapleton-Clifton-Fox Hills, Rosebank-Shore Acres-Park Hill, West New Brighton-Silver Lake-Grymes Hill, Westerleigh-Castleton Corners, Port Richmond, Mariner's Harbor-Arlington-Graniteville, Snug Harbor, Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights, Fort Wadsworth,,,,,,,,,,,,,,,,,,,,
50,David Carr,"Staten Island, Brooklyn",Republican,Arrochar, Bath Beach, Bay Ridge, Bay Terrace, Bulls Head, Castleton Corners, Concord, Dongan Hills, Dongan Hills Colony, Dyker Beach Park, Dyker Heights, Egbertville, Emmerson Hill, Fort Hamilton, Fort Wadsworth, Grant City, Grasmere, High Rock, Lighthouse Hill, Midland Beach, New Dorp, Oakwood, Ocean Breeze, Old Town, Richmondtown, South Beach, Todt Hill, Travis, Westerleigh, Willowbrook
51,Joseph C. Borelli,Staten Island,Republican,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights, New Springville-Willowbrook-Bulls Head-Travis, Freshkills Park (North), Oakwood-Richmondtown, Great Kills-Eltingville, Arden Heights-Rossville, Annadale-Huguenot-Prince's Bay-Woodrow, Tottenville-Charleston, Freshkills Park (South), Great Kills Park,,,,,,,,,,,,,,,,,,,,
